text,actual,predicted,error_type
 yum. Do you do home delivery,positive,neutral,positive -> neutral
Having a wonderful piece of cake for lunch - what else could I want???,positive,neutral,positive -> neutral
" Don`t worry, you`ll get your stamina back soon  What kind of distances do you run usually?",positive,neutral,positive -> neutral
shack idol today(: can`t wait. it`s gonna be funnn poor cameron. he fell ON A BAR in speech today. i felt so bad for him,neutral,negative,neutral -> negative
" Awww, *hugs* I wish I could help.",negative,positive,negative -> positive
2 hours after teleconference. but can`t go back to sleep. got some work to do. sigh sigh,negative,neutral,negative -> neutral
i don`t know the guys on radio disney have so much energy. i wouldn`t be able to do it  <3,neutral,negative,neutral -> negative
 **** Frat - that`s too bad...  Should be a good show (at least I`m hoping so) esp. since it`s in BK...,neutral,positive,neutral -> positive
"6:29 pm - ok, let`s go now through #bowman #strategicClock but first.. a break :-0 aargh.. tired",negative,neutral,negative -> neutral
"MIT bookstore has best book selection, but it`s the one bookstore I have no coupons or discounts for",positive,neutral,positive -> neutral
when living in Spain..you can NEVER take a hot shower for granted..luckily I have nice friends across the street,positive,neutral,positive -> neutral
And it`s starting to get cold,neutral,negative,neutral -> negative
_Jamie I guess  ! I was really suprised..,positive,neutral,positive -> neutral
"Rachel Allens date bars, so easy to make   http://twitpic.com/4jas7",positive,neutral,positive -> neutral
_KittyKat hello new follower  haha!! how are ya?,positive,neutral,positive -> neutral
i want so bad to go to the mcfly`s concert,positive,neutral,positive -> neutral
 I can`t believe you tweeted that. It was our special moment,negative,positive,negative -> positive
 I just KNEW you`d get that!,positive,neutral,positive -> neutral
babysitting kids who won`t let me play wii with them,negative,neutral,negative -> neutral
 not nerdy at all. I made one yesterday.,neutral,negative,neutral -> negative
[-O] i wish the birthday massacre would come to australia  i think they said they`re thinking about it tho.. http://tinyurl.com/p6lfch,neutral,positive,neutral -> positive
"I definitely missed listening to The Spill Canvas, I miss seeing them live as well  'Now I`m in stitches ooooover you and oooover you, oh'",negative,neutral,negative -> neutral
"_terrible haha, that was new  the fact that he couldn`t do it should have cost his part. What kind of Spock is that!",neutral,negative,neutral -> negative
white-water rafting in the tripics,neutral,negative,neutral -> negative
Went to get my car inspection sticker got gigantic red R one. Just keep piling it on. I can take it. Don`t worry about me. I`ll be ok.,positive,negative,positive -> negative
"_x Hey 'Cameron', I know it was amazing and I have sunburn too  So my mum isn`t happy,, . & my throat kills . . Still <3 it",neutral,positive,neutral -> positive
 ask  to create a fake competetion and declare you the winner and then gift you a return ticket courtesy the producers.,negative,neutral,negative -> neutral
"thers not many peole tweeting tonight... well suppose it is friday...evry normal person is out partyin, but im skint",negative,neutral,negative -> neutral
" Thank a Chu?t ï¿½  Ch?c v?y quï¿½, hik, ch?c em ph?i ?i h?c 1 khï¿½a ph? c?p ki?n th?c c? khï¿½ g?p =.=",positive,neutral,positive -> neutral
" - l`d come if u could, but Australia is just too far away",negative,neutral,negative -> neutral
" 'A hike in the woods with four little kids couldn`t be that exhausting, right? Wrong.'  LOL.. Try downright masochistic!",neutral,negative,neutral -> negative
" Aww   I know, we used to chat but you became too cool for me ;)",neutral,positive,neutral -> positive
"Heading off to Hollywood Studios today  Manta and Kraken were both awesome yesterday, feeling like doing a few more rides!!",positive,neutral,positive -> neutral
My teeth and my eye hurt   someone make them feel better,neutral,positive,neutral -> positive
 my gut feel says its gonna be a boy ababa,neutral,negative,neutral -> negative
 DAMMIT! lets have a private session,negative,neutral,negative -> neutral
why bother  at celebs? eh? cause it`s almost like talking to them,negative,neutral,negative -> neutral
"Home until tomorrow. Did my running and spinning. Now time for chiropractor, laundry, shopping, and visiting family. Missing nathan",negative,neutral,negative -> neutral
not ideal bank holiday conditions.. a little over cast and rainy but perfect for a lazy day with a dvd,negative,neutral,negative -> neutral
"got through two thirds of new moon in three days, now on to eclipse..........then more work  assignments sadly dnt write them selves.",negative,neutral,negative -> neutral
 I think they are disgusting,negative,neutral,negative -> neutral
_Happy_EmoX lmao. Lucky! It`s 10 minutes on foot for me  ewww..... School.lol. On the bus now.,negative,positive,negative -> positive
why won`t the kids sleep,negative,neutral,negative -> neutral
My Sharpie is running DANGERously low on ink,negative,neutral,negative -> neutral
I need to be sleeping.. But i`m not even tired..,neutral,negative,neutral -> negative
I wish I could just go for a drive..or a movie or the store..I just wanna be alone,negative,positive,negative -> positive
Okay one of my ears popped so now I know what everything sounds like and everything is reall loud,neutral,positive,neutral -> positive
 i meant i cnt help but stop chattin wid her.....    gud dat u noe everything.... so do u think its fair????,neutral,negative,neutral -> negative
"Thank goodness for starbucks iced coffee...I was feeling so sluggish today, I think its this awful LA weather",neutral,positive,neutral -> positive
lucky to be where i belong,positive,neutral,positive -> neutral
 Dont worry man. You`ll see me just as much this week as you did last week.,positive,neutral,positive -> neutral
"oooh battlestar galactica is on the other channel. it`s the rebellion episode! man, i feel so sad about what became of gaeta.  i liked him",neutral,negative,neutral -> negative
can`t make it to graduation...,negative,neutral,negative -> neutral
i DID argue with byron because he said im fat,negative,neutral,negative -> neutral
Last day for seniors bye bff,negative,neutral,negative -> neutral
Feel like **** today   Got a speeding ticket 1st since 5 years...blows!!!!!!!,negative,neutral,negative -> neutral
  that`s why I need to be there...To represent the Blackberries,positive,neutral,positive -> neutral
_violence heyyyy babyy,negative,neutral,negative -> neutral
"it`s you and me forever ?, it`s you and me right now   flywithmeobsessive. Im crying",negative,neutral,negative -> neutral
working again today  but off tomorrow for dan`s party! yay!,positive,neutral,positive -> neutral
Got home from audition awhile ago. I think it went pretty well  Now my math homework is calling my name -.-`,positive,neutral,positive -> neutral
 jealous  it looks like schindler`s list in toronto,negative,neutral,negative -> neutral
_mactastic I dunno ;p How`d I end up waking up at 2 am? It`s a mysterious world,negative,neutral,negative -> neutral
 i love those boys. i missed the chat yesterday  it was the firts & only one i`ll miss though! <333 Nick Jonas <3333,neutral,negative,neutral -> negative
 64 degrees would be a dream. it`s 75 in Boise still.,neutral,negative,neutral -> negative
My cat died of kidney failure during my math test  This day needs to get better.,neutral,negative,neutral -> negative
Well can ya please send some luvin to    im sensing deep fiery anger surrounding his presence right now...,positive,neutral,positive -> neutral
Stressed out fro work and having a drink,negative,neutral,negative -> neutral
" this has been like the never ending story....all I seem to be doing is packing and now unpacking!!! Soon over, great here",neutral,negative,neutral -> negative
" me too  she better be back soon! dude, this is my typical bedtime. but look who is talking! what are YOU doing up so late?",negative,neutral,negative -> neutral
 He`s my mother`s favorite. It was so hard telling her.,neutral,positive,neutral -> positive
Off to England during the summer holidays this year.... yay!,positive,neutral,positive -> neutral
friday night is my fav night of the week but now I have to go to stupid dog training classes,positive,neutral,positive -> neutral
" very much so  You know I am coming now on Thursday too right, are there door sales ??",neutral,positive,neutral -> positive
 Thanx sis I`ll b sure to let them know how many people r praying w/them...,positive,neutral,positive -> neutral
" alas, I am moving   (like where i`m moving too, but the actual moving, ugh) wish I could go too!",positive,negative,positive -> negative
